"Insertion time","Successful retrieval time","Unsuccessful retrieval time","Total time"
37,34,35,106
38,36,38,112
41,38,34,113
36,34,38,108
40,38,36,114
36,33,34,103
37,33,39,109
42,38,35,115
36,34,35,105
40,38,37,115
39,36,34,109
36,34,38,108
39,35,36,110
39,35,35,109
37,34,34,105
37,36,37,110
38,36,38,112
38,35,41,114
38,39,38,115
39,41,36,116
42,37,37,116
39,35,35,109
43,33,37,113
39,38,38,115
39,35,35,109
36,36,36,108
36,36,39,111
42,34,34,110
38,37,38,113
40,38,38,116
37,33,36,106
38,36,36,110
36,33,36,105
36,34,39,109
37,36,35,108
35,34,34,103
37,34,37,108
38,33,34,105
36,33,35,104
38,37,37,112
39,33,40,112
38,40,38,116
40,36,37,113
39,36,36,111
38,37,36,111
41,37,36,114
39,35,37,111
37,35,40,112
40,37,36,113
38,35,34,107
40,41,39,120
37,36,35,108
37,34,37,108
43,35,38,116
38,33,35,106
38,35,37,110
39,35,38,112
36,34,35,105
39,38,36,113
41,34,34,109
41,33,36,110
37,36,40,113
38,32,36,106
35,36,37,108
37,34,35,106
36,34,37,107
36,35,38,109
41,37,38,116
41,35,36,112
39,37,35,111
39,36,38,113
41,35,38,114
40,35,38,113
38,37,39,114
38,38,35,111
37,36,39,112
39,34,34,107
38,33,37,108
37,36,37,110
36,33,39,108
43,36,35,114
39,34,34,107
36,35,36,107
41,34,38,113
38,33,34,105
40,35,40,115
40,34,35,109
36,33,36,105
40,35,37,112
36,34,34,104
36,33,35,104
39,38,36,113
40,36,35,111
37,34,37,108
41,38,36,115
38,37,36,111
38,38,35,111
41,37,37,115
37,37,35,109
39,38,35,112
38,35,35,108
40,34,39,113
39,37,40,116
37,38,37,112
39,40,37,116
41,35,39,115
36,34,34,104
41,35,37,113
38,36,34,108
36,35,37,108
39,34,47,120
37,33,35,105
35,38,36,109
38,35,34,107
37,33,33,103
41,37,34,112
39,33,35,107
36,33,39,108
38,37,37,112
36,36,36,108
40,38,37,115
40,37,39,116
42,37,36,115
38,36,38,112
37,35,37,109
41,37,42,120
40,37,38,115
38,39,35,112
36,36,38,110
38,37,38,113
39,33,34,106
36,37,38,111
38,33,38,109
41,33,36,110
40,37,40,117
40,42,34,116
36,37,35,108
40,36,37,113
37,33,34,104
37,36,36,109
43,35,36,114
36,33,35,104
37,37,35,109
36,35,33,104
36,34,35,105
39,36,37,112
39.212,36.014,37.184,112.41
